test_country,seed,failure_mode,model,mae,areas,n
Japan,11,independent,direct_full,0.11463189390250292,2,16
Japan,11,independent,residual_full,0.31761652524820716,2,16
Japan,11,spatial_cluster,direct_full,0.21642237836595227,2,16
Japan,11,spatial_cluster,residual_full,0.19643460568140794,2,16
Japan,11,targeted,direct_full,0.2566281978395718,2,16
Japan,11,targeted,residual_full,0.1553948719409245,2,16
Japan,22,independent,direct_full,0.13469396360839658,2,16
Japan,22,independent,residual_full,0.06924563537661975,2,16
Japan,22,spatial_cluster,direct_full,0.10545541136328801,2,16
Japan,22,spatial_cluster,residual_full,0.501901684563712,2,16
Japan,22,targeted,direct_full,0.1994794216160491,2,16
Japan,22,targeted,residual_full,0.15597304004848148,2,16
Japan,33,independent,direct_full,0.45729017315176773,2,16
Japan,33,independent,residual_full,0.132139196044528,2,16
Japan,33,spatial_cluster,direct_full,0.022785126667396884,2,16
Japan,33,spatial_cluster,residual_full,0.6889068368189766,2,16
Japan,33,targeted,direct_full,0.2832174920751638,2,16
Japan,33,targeted,residual_full,0.09213923427323631,2,16
Japan,44,independent,direct_full,0.09205347980849841,2,16
Japan,44,independent,residual_full,0.008149922053439384,2,16
Japan,44,spatial_cluster,direct_full,0.0556785622581228,2,16
Japan,44,spatial_cluster,residual_full,0.5100468862832204,2,16
Japan,44,targeted,direct_full,0.2570156565617816,2,16
Japan,44,targeted,residual_full,0.17545024014376565,2,16
Japan,55,independent,direct_full,0.34666283435587364,2,16
Japan,55,independent,residual_full,0.12687853012510672,2,16
Japan,55,spatial_cluster,direct_full,0.02411366026786575,2,16
Japan,55,spatial_cluster,residual_full,0.10411510482368477,2,16
Japan,55,targeted,direct_full,0.12483430865766629,2,16
Japan,55,targeted,residual_full,0.015748647716025226,2,16
Malaysia,11,independent,direct_full,0.18768960560395956,2,16
Malaysia,11,independent,residual_full,0.15579933270205326,2,16
Malaysia,11,spatial_cluster,direct_full,0.05708823722666034,2,16
Malaysia,11,spatial_cluster,residual_full,0.05062901371279823,2,16
Malaysia,11,targeted,direct_full,0.3665438989626209,2,16
Malaysia,11,targeted,residual_full,0.36745775551367205,2,16
Malaysia,22,independent,direct_full,0.4757397428373531,2,16
Malaysia,22,independent,residual_full,0.1590856446171835,2,16
Malaysia,22,spatial_cluster,direct_full,0.024073626318240855,2,16
Malaysia,22,spatial_cluster,residual_full,0.022521780741626696,2,16
Malaysia,22,targeted,direct_full,0.10855699270153096,2,16
Malaysia,22,targeted,residual_full,0.11010666002394537,2,16
Malaysia,33,independent,direct_full,0.2882522745355359,2,16
Malaysia,33,independent,residual_full,0.2519650096371165,2,16
Malaysia,33,spatial_cluster,direct_full,0.08234232897065091,2,16
Malaysia,33,spatial_cluster,residual_full,0.0768981177838098,2,16
Malaysia,33,targeted,direct_full,0.282281850665636,2,16
Malaysia,33,targeted,residual_full,0.21280388798832026,2,16
Malaysia,44,independent,direct_full,0.020615864371210504,2,16
Malaysia,44,independent,residual_full,0.017762316187871774,2,16
Malaysia,44,spatial_cluster,direct_full,0.017804410623248786,2,16
Malaysia,44,spatial_cluster,residual_full,0.02210903385454055,2,16
Malaysia,44,targeted,direct_full,0.28962067422631005,2,16
Malaysia,44,targeted,residual_full,0.22139889802232987,2,16
Malaysia,55,independent,direct_full,0.3310323581581358,2,16
Malaysia,55,independent,residual_full,0.19863810199150997,2,16
Malaysia,55,spatial_cluster,direct_full,0.044891599078315136,2,16
Malaysia,55,spatial_cluster,residual_full,0.011580415557486162,2,16
Malaysia,55,targeted,direct_full,0.16082435860758687,2,16
Malaysia,55,targeted,residual_full,0.1450651289617522,2,16
Singapore,11,independent,direct_full,0.09950450383604963,1,8
Singapore,11,independent,residual_full,0.03864101967321232,1,8
Singapore,11,spatial_cluster,direct_full,0.04463893154845271,1,8
Singapore,11,spatial_cluster,residual_full,0.7501268146724936,1,8
Singapore,11,targeted,direct_full,0.2838181646737268,1,8
Singapore,11,targeted,residual_full,0.280783260074537,1,8
Singapore,22,independent,direct_full,0.20012831703723205,1,8
Singapore,22,independent,residual_full,0.17525360004008547,1,8
Singapore,22,spatial_cluster,direct_full,0.08403666944603272,1,8
Singapore,22,spatial_cluster,residual_full,0.10450114936928105,1,8
Singapore,22,targeted,direct_full,0.25359930790011553,1,8
Singapore,22,targeted,residual_full,0.16389556827937035,1,8
Singapore,33,independent,direct_full,0.20061962841793415,1,8
Singapore,33,independent,residual_full,0.12675431160971043,1,8
Singapore,33,spatial_cluster,direct_full,0.1044508455331767,1,8
Singapore,33,spatial_cluster,residual_full,0.09093080498383885,1,8
Singapore,33,targeted,direct_full,0.24580987170805815,1,8
Singapore,33,targeted,residual_full,0.2175370259257186,1,8
Singapore,44,independent,direct_full,0.10401997487489044,1,8
Singapore,44,independent,residual_full,0.03170186472553671,1,8
Singapore,44,spatial_cluster,direct_full,0.01841076148470528,1,8
Singapore,44,spatial_cluster,residual_full,0.020795935408972552,1,8
Singapore,44,targeted,direct_full,0.2385417359698161,1,8
Singapore,44,targeted,residual_full,0.23344014648381317,1,8
Singapore,55,independent,direct_full,0.1770754537773533,1,8
Singapore,55,independent,residual_full,0.14268417910162634,1,8
Singapore,55,spatial_cluster,direct_full,0.02978837339615071,1,8
Singapore,55,spatial_cluster,residual_full,0.06651886055421853,1,8
Singapore,55,targeted,direct_full,0.20817910048704696,1,8
Singapore,55,targeted,residual_full,0.08142471227388934,1,8
Taiwan,11,independent,direct_full,0.06725075155697434,1,8
Taiwan,11,independent,residual_full,0.006688223553675692,1,8
Taiwan,11,spatial_cluster,direct_full,0.06747106823143897,1,8
Taiwan,11,spatial_cluster,residual_full,0.08233767270115552,1,8
Taiwan,11,targeted,direct_full,0.26493634152652373,1,8
Taiwan,11,targeted,residual_full,0.1517137071067249,1,8
Taiwan,22,independent,direct_full,0.08766877686406435,1,8
Taiwan,22,independent,residual_full,0.04010976187686386,1,8
Taiwan,22,spatial_cluster,direct_full,0.07904727975569237,1,8
Taiwan,22,spatial_cluster,residual_full,0.026430304019819377,1,8
Taiwan,22,targeted,direct_full,0.06483866264879548,1,8
Taiwan,22,targeted,residual_full,0.07050373302608573,1,8
Taiwan,33,independent,direct_full,0.1222725128744474,1,8
Taiwan,33,independent,residual_full,0.005177437328852088,1,8
Taiwan,33,spatial_cluster,direct_full,0.02614794049656613,1,8
Taiwan,33,spatial_cluster,residual_full,0.01669956214970574,1,8
Taiwan,33,targeted,direct_full,0.0744658398386943,1,8
Taiwan,33,targeted,residual_full,0.041099836299281094,1,8
Taiwan,44,independent,direct_full,0.03337949298583393,1,8
Taiwan,44,independent,residual_full,0.030469494576383857,1,8
Taiwan,44,spatial_cluster,direct_full,0.15773432037283722,1,8
Taiwan,44,spatial_cluster,residual_full,0.021443378985422274,1,8
Taiwan,44,targeted,direct_full,0.30608446901164865,1,8
Taiwan,44,targeted,residual_full,0.1951367054643474,1,8
Taiwan,55,independent,direct_full,0.03403239591752709,1,8
Taiwan,55,independent,residual_full,0.05073567653780402,1,8
Taiwan,55,spatial_cluster,direct_full,0.026958386844348623,1,8
Taiwan,55,spatial_cluster,residual_full,0.01463757877950694,1,8
Taiwan,55,targeted,direct_full,0.2513179634343097,1,8
Taiwan,55,targeted,residual_full,0.1006353092025229,1,8
Thailand,11,independent,direct_full,0.07613055875176679,2,16
Thailand,11,independent,residual_full,0.06618059300003687,2,16
Thailand,11,spatial_cluster,direct_full,0.11344980976054678,2,16
Thailand,11,spatial_cluster,residual_full,0.10718160999449206,2,16
Thailand,11,targeted,direct_full,0.34316560608603536,2,16
Thailand,11,targeted,residual_full,0.3139011951283413,2,16
Thailand,22,independent,direct_full,0.14878472322860742,2,16
Thailand,22,independent,residual_full,0.14121024925524378,2,16
Thailand,22,spatial_cluster,direct_full,0.022673921172836897,2,16
Thailand,22,spatial_cluster,residual_full,0.024042811922127524,2,16
Thailand,22,targeted,direct_full,0.156541240363932,2,16
Thailand,22,targeted,residual_full,0.12626890566508783,2,16
Thailand,33,independent,direct_full,0.20277615029357907,2,16
Thailand,33,independent,residual_full,0.2130948072112405,2,16
Thailand,33,spatial_cluster,direct_full,0.016227832270185334,2,16
Thailand,33,spatial_cluster,residual_full,0.0018004321294325589,2,16
Thailand,33,targeted,direct_full,0.2994860206547651,2,16
Thailand,33,targeted,residual_full,0.08891601611892613,2,16
Thailand,44,independent,direct_full,0.011072987607034337,2,16
Thailand,44,independent,residual_full,0.689172386275319,2,16
Thailand,44,spatial_cluster,direct_full,0.032552968878183944,2,16
Thailand,44,spatial_cluster,residual_full,0.0327707372418386,2,16
Thailand,44,targeted,direct_full,0.30800078738035275,2,16
Thailand,44,targeted,residual_full,0.15553539807829278,2,16
Thailand,55,independent,direct_full,0.10675087144224737,2,16
Thailand,55,independent,residual_full,0.12235434741339478,2,16
Thailand,55,spatial_cluster,direct_full,0.008847224994678094,2,16
Thailand,55,spatial_cluster,residual_full,0.004704828604008947,2,16
Thailand,55,targeted,direct_full,0.22124516213762002,2,16
Thailand,55,targeted,residual_full,0.14395035247142987,2,16
Vietnam,11,independent,direct_full,0.11450523144687326,5,40
Vietnam,11,independent,residual_full,0.11073826766643294,5,40
Vietnam,11,spatial_cluster,direct_full,0.058798161004897986,5,40
Vietnam,11,spatial_cluster,residual_full,0.04248513748900047,5,40
Vietnam,11,targeted,direct_full,0.33529225772803395,5,40
Vietnam,11,targeted,residual_full,0.3329483423757881,5,40
Vietnam,22,independent,direct_full,0.17605522658852196,5,40
Vietnam,22,independent,residual_full,0.10567263376621346,5,40
Vietnam,22,spatial_cluster,direct_full,0.09141222365799082,5,40
Vietnam,22,spatial_cluster,residual_full,0.09132491519348127,5,40
Vietnam,22,targeted,direct_full,0.3534255765467801,5,40
Vietnam,22,targeted,residual_full,0.3175516086924849,5,40
Vietnam,33,independent,direct_full,0.42651669246733864,5,40
Vietnam,33,independent,residual_full,0.1483800755643343,5,40
Vietnam,33,spatial_cluster,direct_full,0.01880774332129256,5,40
Vietnam,33,spatial_cluster,residual_full,0.017107967764649568,5,40
Vietnam,33,targeted,direct_full,0.3368344006439138,5,40
Vietnam,33,targeted,residual_full,0.2912689466546573,5,40
Vietnam,44,independent,direct_full,0.4560450580911467,5,40
Vietnam,44,independent,residual_full,0.11068610979760589,5,40
Vietnam,44,spatial_cluster,direct_full,0.10964713981273251,5,40
Vietnam,44,spatial_cluster,residual_full,0.6858800133947444,5,40
Vietnam,44,targeted,direct_full,0.4837715171411129,5,40
Vietnam,44,targeted,residual_full,0.4995382239364048,5,40
Vietnam,55,independent,direct_full,0.15957111850399575,5,40
Vietnam,55,independent,residual_full,0.5450008231072697,5,40
Vietnam,55,spatial_cluster,direct_full,0.07830135877405922,5,40
Vietnam,55,spatial_cluster,residual_full,0.07387790851783518,5,40
Vietnam,55,targeted,direct_full,0.3827238377365517,5,40
Vietnam,55,targeted,residual_full,0.4179591768368557,5,40
