test_country,failure_mode,direct_mae,residual_mae,direct_minus_residual
Japan,independent,0.2290664689654079,0.1308059617695802,0.09826050719582766
Japan,spatial_cluster,0.08489102778452515,0.4002810236342003,-0.3153899958496752
Japan,targeted,0.22423501535004653,0.11894120682448664,0.10529380852555988
Malaysia,independent,0.26066596910123896,0.156650081027147,0.10401588807409197
Malaysia,spatial_cluster,0.04524004044342321,0.036747672330052286,0.008492368113370919
Malaysia,targeted,0.24156555503273697,0.21136646610200396,0.03019908893073301
Singapore,independent,0.1562695755886919,0.10300699503003426,0.05326258055865766
Singapore,spatial_cluster,0.05626511628170362,0.20657471299776092,-0.15030959671605731
Singapore,targeted,0.2459896361477527,0.1954161426074657,0.05057349354028701
Taiwan,independent,0.06892078603976942,0.0266361187747159,0.04228466726505352
Taiwan,spatial_cluster,0.07147179914017666,0.03230969932712197,0.03916209981305469
Taiwan,targeted,0.19232865529199436,0.1118178582197924,0.08051079707220196
Thailand,independent,0.10910305826464699,0.24640247663104695,-0.13729941836639997
Thailand,spatial_cluster,0.03875035141528621,0.034100083978379936,0.004650267436906272
Thailand,targeted,0.265687763324541,0.16571437349241558,0.09997338983212546
Vietnam,independent,0.26653866541957527,0.20409558198037128,0.062443083439203996
Vietnam,spatial_cluster,0.07139332531419462,0.18213518847194216,-0.11074186315774755
Vietnam,targeted,0.37840951795927846,0.37185325969923816,0.006556258260040337
