test_country,seed,failure_mode,model,mae,areas,n
Japan,11,independent,direct_full,0.14430783302285516,2,16
Japan,11,independent,residual_full,0.09880833034165942,2,16
Japan,11,spatial_cluster,direct_full,0.11770683927561687,2,16
Japan,11,spatial_cluster,residual_full,0.08730210950698306,2,16
Japan,11,targeted,direct_full,0.19420693091870722,2,16
Japan,11,targeted,residual_full,0.11703796194688852,2,16
Japan,22,independent,direct_full,0.19885003023470693,2,16
Japan,22,independent,residual_full,0.10265874691928675,2,16
Japan,22,spatial_cluster,direct_full,0.2229843435323678,2,16
Japan,22,spatial_cluster,residual_full,0.072198465231701,2,16
Japan,22,targeted,direct_full,0.16375456565663365,2,16
Japan,22,targeted,residual_full,0.09941058421179798,2,16
Japan,33,independent,direct_full,0.15064968878147644,2,16
Japan,33,independent,residual_full,0.132139196044528,2,16
Japan,33,spatial_cluster,direct_full,0.06541306196518405,2,16
Japan,33,spatial_cluster,residual_full,0.6889068368189766,2,16
Japan,33,targeted,direct_full,0.12230185934295124,2,16
Japan,33,targeted,residual_full,0.09213923427323631,2,16
Japan,44,independent,direct_full,0.08446544391580321,2,16
Japan,44,independent,residual_full,0.25794022733799715,2,16
Japan,44,spatial_cluster,direct_full,0.05335128633001294,2,16
Japan,44,spatial_cluster,residual_full,0.5100468862832204,2,16
Japan,44,targeted,direct_full,0.18391145660840436,2,16
Japan,44,targeted,residual_full,0.08629560016728474,2,16
Japan,55,independent,direct_full,0.10825245182429032,2,16
Japan,55,independent,residual_full,0.12914157093103448,2,16
Japan,55,spatial_cluster,direct_full,0.07377707241972395,2,16
Japan,55,spatial_cluster,residual_full,0.4380938338028877,2,16
Japan,55,targeted,direct_full,0.11231979148076997,2,16
Japan,55,targeted,residual_full,0.015748647716025226,2,16
Malaysia,11,independent,direct_full,0.20113067651822802,2,16
Malaysia,11,independent,residual_full,0.19323910676598188,2,16
Malaysia,11,spatial_cluster,direct_full,0.08280396318873298,2,16
Malaysia,11,spatial_cluster,residual_full,0.06541021025618445,2,16
Malaysia,11,targeted,direct_full,0.26923028905707996,2,16
Malaysia,11,targeted,residual_full,0.22477297917771735,2,16
