test_country,failure_mode,direct_mae,residual_mae,direct_minus_residual
Japan,independent,0.1373050895558264,0.14413761431490119,-0.006832524759074751
Japan,spatial_cluster,0.10664652070458111,0.35930962632875374,-0.2526631056241726
Japan,targeted,0.15529892080149327,0.08212640566304655,0.07317251513844673
Malaysia,independent,0.18484584042517865,0.1638915403345081,0.02095430009067058
Malaysia,spatial_cluster,0.06015455503347796,0.049880010954621246,0.010274544078856716
Malaysia,targeted,0.19847467431360336,0.18519176207350557,0.013282912240097778
Singapore,independent,0.12635267780004805,0.12002929535536833,0.006323382444679723
Singapore,spatial_cluster,0.09613153868298141,0.06285411006201855,0.033277428620962855
Singapore,targeted,0.18097690250946613,0.16148278117401932,0.019494121335446837
Taiwan,independent,0.08158028751039484,0.0303019266774611,0.05127836083293373
Taiwan,spatial_cluster,0.08295441425716032,0.05301861087469652,0.029935803382463815
Taiwan,targeted,0.08020727351864182,0.03082707071171496,0.04938020280692686
Thailand,independent,0.11194365854380683,0.1074520091910699,0.0044916493527369416
Thailand,spatial_cluster,0.044343842405588335,0.04798634129611398,-0.0036424988905256485
Thailand,targeted,0.19355058968679326,0.1680564767556622,0.025494112931131054
Vietnam,independent,0.19463853357821786,0.1966300780102944,-0.0019915444320765417
Vietnam,spatial_cluster,0.16270321831033865,0.18071195474804752,-0.01800873643770886
Vietnam,targeted,0.2258831171113978,0.24381351741568746,-0.01793040030428971
