seed,model,domain,mae,rmse,r2,spearman
11,direct_full,synthetic,0.06812036932178979,0.1508415458723893,0.42968324803404356,0.5479835194814275
11,direct_full,osm,0.10901584467653803,0.28241979765973063,0.6317979908684301,0.8705344352318592
11,direct_no_fiedler,synthetic,0.06979539834580616,0.1461671467203978,0.4644824379198672,0.5518214721008954
11,direct_no_fiedler,osm,0.10853860696648042,0.28096390040729824,0.6355844291431916,0.874320309034822
11,residual_full,synthetic,0.04100275716413516,0.11227125661659418,0.6840551021173044,0.8201270504971151
11,residual_full,osm,0.10317219851209114,0.2705186259713568,0.6621762141156313,0.9191382561730832
11,spectral,synthetic,0.05535739577064883,0.19021196394605724,0.09311996987952065,0.9517572647365965
11,spectral,osm,0.5312123310984312,0.7017664504863403,-1.2734273625744863,0.3915795999305437
22,direct_full,synthetic,0.07469070871159626,0.14423999426600514,0.47632660417175865,0.5923685174377444
22,direct_full,osm,0.12628893942484126,0.27003782183740116,0.6326261333070622,0.8317522551270305
22,direct_no_fiedler,synthetic,0.07618829562579983,0.14398387936774004,0.4781846392590098,0.5966667017842656
22,direct_no_fiedler,osm,0.11397461161402087,0.2678761049530903,0.6384844206555422,0.8148908324490332
22,residual_full,synthetic,0.04339556606276701,0.09834191747051547,0.7565742807301692,0.886925710980973
22,residual_full,osm,0.10781865508752114,0.27390701206663787,0.6220230052720599,0.9165398348549896
22,spectral,synthetic,0.05149554966365296,0.17391704974083153,0.23866913411829194,0.9474290791033385
22,spectral,osm,0.6107486439221668,0.7525665542135207,-1.8533095735928122,0.28239021946916865
33,direct_full,synthetic,0.07871184872643783,0.19309507621958708,0.5712546133532461,0.6722002867560931
33,direct_full,osm,0.12959063723445322,0.2945656703839053,0.5715998843547476,0.8617434767714335
33,direct_no_fiedler,synthetic,0.087731660428798,0.21089842290795413,0.4885493619215271,0.6696935452175229
33,direct_no_fiedler,osm,0.1285260437753476,0.29230425497867224,0.5781523917118779,0.8617887519404454
33,residual_full,synthetic,0.05108283953829425,0.15964882218635618,0.706918437459704,0.9020176533342331
33,residual_full,osm,0.12234238616462444,0.2814670482297136,0.6088526125041315,0.9213709132255565
33,spectral,synthetic,0.10770210412408938,0.29628044162446227,-0.009399365001412585,0.9236792603958297
33,spectral,osm,0.5352741292994357,0.6962354156586573,-1.3933021912608021,0.33806041989823554
44,direct_full,synthetic,0.045056404475675875,0.11855119631367034,0.6719615244240404,0.6847393026752212
44,direct_full,osm,0.08334444216772315,0.23786767571424414,0.7344996811525297,0.8615596671762934
44,direct_no_fiedler,synthetic,0.05494508720528343,0.11695719791681491,0.6807236036336461,0.6612185344741558
44,direct_no_fiedler,osm,0.08738822231926487,0.2349880642369705,0.7408890322021708,0.8672663863709036
44,residual_full,synthetic,0.024869991600993624,0.0729762251189342,0.8756986937468653,0.859277182810704
44,residual_full,osm,0.08026111333770668,0.2341066841288229,0.7428291049032065,0.9454448336330029
44,spectral,synthetic,0.048923044966812046,0.1755647518941256,0.28057163384784234,0.966221370425388
44,spectral,osm,0.5930262531476089,0.7477528576129834,-1.623676901751192,0.4559841696260896
55,direct_full,synthetic,0.06138356520316808,0.1393261743708457,0.5826845585155507,0.6419746040528097
55,direct_full,osm,0.10012396766633538,0.2623167012076274,0.6755052092720844,0.8937878552094832
55,direct_no_fiedler,synthetic,0.05844126289058188,0.14071801753535124,0.5743051010507803,0.674727244902458
55,direct_no_fiedler,osm,0.10391121503885602,0.2707836017066999,0.6542194458822257,0.864184742844856
55,residual_full,synthetic,0.034613730874302,0.09805145743801151,0.7933158672898931,0.9136237164292437
55,residual_full,osm,0.09525736569547952,0.2572704390891108,0.6878699223793245,0.932235494299864
55,spectral,synthetic,0.06227473573349672,0.2087982182694483,0.0627561339738717,0.9646537025786535
55,spectral,osm,0.5609207853156616,0.7211787163095976,-1.4526842782907274,0.3919565360851621
