seed,domain,mae_no_fiedler_minus_full,mae_residual_minus_full,spearman_residual_minus_full
11,synthetic,0.0016750290240163668,-0.02711761215765463,0.27214353101568756
11,osm,-0.0004772377100576153,-0.0058436461644468946,0.04860382094122395
22,synthetic,0.0014975869142035692,-0.03129514264882925,0.2945571935432285
22,osm,-0.012314327810820397,-0.01847028433732012,0.08478757972795903
33,synthetic,0.009019811702360173,-0.02762900918814358,0.22981736657814
33,osm,-0.0010645934591056172,-0.007248251069828779,0.05962743645412305
44,synthetic,0.009888682729607558,-0.02018641287468225,0.17453788013548277
44,osm,0.0040437801515417204,-0.0030833288300164685,0.08388516645670951
55,synthetic,-0.002942302312586201,-0.02676983432886608,0.27164911237643397
55,osm,0.003787247372520633,-0.004866601970855866,0.038447639090380736
