area,country,nodes,edges,seed,failure_mode,model,mae,n,eigengap
bangkok,Thailand,1072.0,1457.0,11,independent,direct_edge_mpnn,0.13014448195217318,20,0.5923173656377744
bangkok,Thailand,1072.0,1457.0,11,independent,direct_full,0.15267620890854067,20,0.5923173656377744
bangkok,Thailand,1072.0,1457.0,11,independent,direct_sage,0.16621527898578117,20,0.5923173656377744
bangkok,Thailand,1072.0,1457.0,11,independent,residual_edge_mpnn,0.09427793931268982,20,0.5923173656377744
bangkok,Thailand,1072.0,1457.0,11,independent,residual_full,0.1176330056366152,20,0.5923173656377744
bangkok,Thailand,1072.0,1457.0,11,independent,residual_sage,0.10305380335742535,20,0.5923173656377744
bangkok,Thailand,1072.0,1457.0,11,independent,spectral,0.5965492867076952,20,0.5923173656377744
bangkok,Thailand,1072.0,1457.0,11,independent,spectral_second_order,0.5962147427674732,20,0.5923173656377744
bangkok,Thailand,1072.0,1457.0,11,spatial_cluster,direct_edge_mpnn,0.019580742960096285,20,0.5923173656377744
bangkok,Thailand,1072.0,1457.0,11,spatial_cluster,direct_full,0.03762994991731732,20,0.5923173656377744
bangkok,Thailand,1072.0,1457.0,11,spatial_cluster,direct_sage,0.06471983367693515,20,0.5923173656377744
bangkok,Thailand,1072.0,1457.0,11,spatial_cluster,residual_edge_mpnn,0.03623471782659083,20,0.5923173656377744
bangkok,Thailand,1072.0,1457.0,11,spatial_cluster,residual_full,0.02320920402300447,20,0.5923173656377744
bangkok,Thailand,1072.0,1457.0,11,spatial_cluster,residual_sage,0.03620598396156254,20,0.5923173656377744
bangkok,Thailand,1072.0,1457.0,11,spatial_cluster,spectral,0.7485920685978907,20,0.5923173656377744
bangkok,Thailand,1072.0,1457.0,11,spatial_cluster,spectral_second_order,0.7485432619555249,20,0.5923173656377744
bangkok,Thailand,1072.0,1457.0,11,targeted,direct_edge_mpnn,0.2797869484298364,20,0.5923173656377744
bangkok,Thailand,1072.0,1457.0,11,targeted,direct_full,0.24955346975484707,20,0.5923173656377744
bangkok,Thailand,1072.0,1457.0,11,targeted,direct_sage,0.2981229772218005,20,0.5923173656377744
