domain,failure_mode,model,area,seed,slope,rho,correction_mae
osm,independent,residual_edge_mpnn,bangkok,11,0.8454749264313592,0.8526315789473683,0.09427793931268982
osm,independent,residual_edge_mpnn,bangkok,22,0.6401948677548109,0.6150375939849623,0.1264797572291546
osm,independent,residual_edge_mpnn,bangkok,33,0.8341691430785411,0.7999999999999999,0.08668234087160442
osm,independent,residual_edge_mpnn,bangkok,44,0.6899665289828807,0.6496240601503759,0.19621998266211424
osm,independent,residual_edge_mpnn,bangkok,55,0.0005325469349509132,0.3789473684210526,0.5543932673810705
osm,independent,residual_edge_mpnn,cantho,11,0.9173825020985009,0.9218045112781955,0.0691854998528698
osm,independent,residual_edge_mpnn,cantho,22,0.9651124960529628,0.8045112781954886,0.039433968228401055
osm,independent,residual_edge_mpnn,cantho,33,0.8200832989202764,0.7097744360902255,0.06797960759372099
osm,independent,residual_edge_mpnn,cantho,44,0.9897483115803202,0.9954887218045112,0.009560238691317802
osm,independent,residual_edge_mpnn,cantho,55,-0.011968253783495262,-0.6285714285714286,0.27170006018861553
osm,independent,residual_edge_mpnn,chiang_mai,11,0.919994357108689,0.7864661654135338,0.08800977910005522
osm,independent,residual_edge_mpnn,chiang_mai,22,0.8682174883065569,0.6586466165413534,0.06972049570975694
osm,independent,residual_edge_mpnn,chiang_mai,33,0.6455171625420814,0.7037593984962407,0.20429330783420072
osm,independent,residual_edge_mpnn,chiang_mai,44,0.989928235198246,0.9398496240601503,0.005127908884041042
osm,independent,residual_edge_mpnn,chiang_mai,55,0.0023341249496262556,0.4526315789473684,0.7060733636771434
osm,independent,residual_edge_mpnn,dalat,11,0.6464744167276629,0.3042168674698795,0.2817148698948024
osm,independent,residual_edge_mpnn,dalat,22,0.9909332845853114,0.9864661654135337,0.0524302344593842
osm,independent,residual_edge_mpnn,dalat,33,0.5077900873241659,0.07218045112781954,0.40427968489232463
osm,independent,residual_edge_mpnn,dalat,44,0.7930077992283013,0.6917293233082705,0.24721007443096865
osm,independent,residual_edge_mpnn,dalat,55,-0.021984288749139467,0.193984962406015,0.7949983786090514
osm,independent,residual_edge_mpnn,danang,11,0.7836432975026887,0.7563909774436091,0.09783417343347225
