area,country,nodes,edges,delta_mae,density,eigengap
bangkok,Thailand,1072.0,1457.0,0.02574811502689896,0.0025380799085803476,0.5923173656377744
cantho,Vietnam,114.0,178.0,0.028800615669825204,0.027635460332246547,1.1845383241700216
chiang_mai,Thailand,1259.0,1661.0,0.02275936653375538,0.002097457921407835,0.4949533208801417
dalat,Vietnam,48.0,55.0,0.013070147838875742,0.04875886524822695,0.9756032890851764
danang,Vietnam,142.0,203.0,0.016526601638578792,0.020277694536010388,0.2642356291819318
george_town,Malaysia,936.0,1334.0,0.01727198254287731,0.003048585401526578,0.5954596397913756
hcmus,Vietnam,163.0,221.0,0.0070644772073489145,0.01673862001060365,0.2308483228937083
kuala_lumpur,Malaysia,730.0,1059.0,0.0332995934642286,0.003979931224984497,0.2325023254726682
kyoto,Japan,909.0,1468.0,0.012334706641480842,0.0035571839122238214,0.942498401496082
singapore,Singapore,759.0,1121.0,0.025965336603576923,0.0038969481438220683,0.5013485374189975
taipei,Taiwan,965.0,1546.0,0.03488132838850847,0.0033238019478425388,0.5880716597674565
tokyo,Japan,1108.0,1675.0,0.029820864312693453,0.0027312246648338928,0.377395270031847
viasm,Vietnam,206.0,301.0,0.016550065568393467,0.014255268766279895,0.8980443796700257
