domain,failure_mode,model,mae_mean,mae_ci_low,mae_ci_high
osm,independent,direct_full,0.1059252620359525,0.10007827653548299,0.11137052080328988
osm,independent,direct_sage,0.10435368089628978,0.09845585022290845,0.10830338091912717
osm,independent,residual_full,0.09741195280694812,0.09053107305179184,0.10217360019664848
osm,independent,residual_sage,0.09745468804514461,0.09117079890719967,0.10313384283341513
osm,spatial_cluster,direct_full,0.10215092063525492,0.07684006719146097,0.14842616664349448
osm,spatial_cluster,direct_sage,0.11275637317864498,0.0820396822827005,0.1638559232503697
osm,spatial_cluster,residual_full,0.09006482309572961,0.07137545799430904,0.12434465774558542
osm,spatial_cluster,residual_sage,0.08889116128445965,0.07929569460072446,0.09886835616512821
synthetic,independent,direct_full,0.0771680426045227,0.05436869134645787,0.09617306036374251
synthetic,independent,direct_sage,0.0657686076667692,0.05046404439606791,0.08107317093747049
synthetic,independent,residual_full,0.05187195454112044,0.036362912918838086,0.07130140542307209
synthetic,independent,residual_sage,0.046052693327818174,0.03439289199338767,0.06338247275402076
synthetic,spatial_cluster,direct_full,0.08091940668582284,0.06702812571093858,0.0970521914705894
synthetic,spatial_cluster,direct_sage,0.08411150866109668,0.06760413297253301,0.10061888434966035
synthetic,spatial_cluster,residual_full,0.06493079353400036,0.04901816769066655,0.0790956667102767
synthetic,spatial_cluster,residual_sage,0.06511976488799501,0.046564743681188514,0.08485298227863189
