seed,domain,failure_mode,model,mae,rmse,r2
11,osm,independent,direct_full,0.10423017905523423,0.2597942606946464,0.6838892642938922
11,osm,independent,direct_sage,0.10860275186356382,0.2593708958564899,0.6849187029290834
11,osm,independent,residual_full,0.09805969569911528,0.2519760864048127,0.7026288768196247
11,osm,independent,residual_sage,0.09826627928709099,0.2564817243303364,0.6918990836017758
11,osm,spatial_cluster,direct_full,0.08012995442420225,0.23308212876841278,0.7209727613753198
11,osm,spatial_cluster,direct_sage,0.08716833996299476,0.21066929176781068,0.7720544491669021
11,osm,spatial_cluster,residual_full,0.07145076389889943,0.22325401819876303,0.7440075140884348
11,osm,spatial_cluster,residual_sage,0.08478488748978456,0.24822906853048754,0.6835289962036761
11,synthetic,independent,direct_full,0.10894510422396939,0.25918565726608805,-0.961716616388544
11,synthetic,independent,direct_sage,0.08284093004025721,0.15812210325838288,0.26987115618166824
11,synthetic,independent,residual_full,0.06417430485378867,0.13620897913581317,0.4582164473900803
11,synthetic,independent,residual_sage,0.03777496589978084,0.08224039269238058,0.8024919999202373
11,synthetic,spatial_cluster,direct_full,0.07559288086279471,0.16374683331370343,0.6613597198435122
11,synthetic,spatial_cluster,direct_sage,0.0648038174784302,0.13753122318032052,0.761111410639271
11,synthetic,spatial_cluster,residual_full,0.08028282213949182,0.16838707544407186,0.6418950673636328
11,synthetic,spatial_cluster,residual_sage,0.05646249298878511,0.14361598397980588,0.7395056242155151
22,osm,independent,direct_full,0.10415379498882522,0.2583798389271326,0.6835508687001814
22,osm,independent,direct_sage,0.10693354822619183,0.26561188465107144,0.6655881424177357
22,osm,independent,residual_full,0.1036359965746224,0.2584709951784848,0.6833275431872134
22,osm,independent,residual_sage,0.10698434258550503,0.26444109649069314,0.6685297468069881
22,osm,spatial_cluster,direct_full,0.07409421074040855,0.22333172225036804,0.7480636369497848
22,osm,spatial_cluster,direct_sage,0.08449330164265409,0.23975039712885607,0.7096587809705658
22,osm,spatial_cluster,residual_full,0.07569905508688567,0.22425929018325086,0.7459665467580915
22,osm,spatial_cluster,residual_sage,0.10428761094671171,0.25627349334035676,0.6682603337806423
22,synthetic,independent,direct_full,0.07301764410775399,0.13154131898541144,0.6031501522419318
22,synthetic,independent,direct_sage,0.06559283050081578,0.12203662020854052,0.6584280679449683
22,synthetic,independent,residual_full,0.039351605792989894,0.08161897304611443,0.8472138154681818
22,synthetic,independent,residual_sage,0.036431671746812694,0.08300232595997237,0.8419908055924326
22,synthetic,spatial_cluster,direct_full,0.057673828310658884,0.12550073456016195,0.7734150348547382
22,synthetic,spatial_cluster,direct_sage,0.06359879494952989,0.15824675128014734,0.6397465408392007
22,synthetic,spatial_cluster,residual_full,0.03502428070124873,0.10715324302391957,0.8348231449409902
22,synthetic,spatial_cluster,residual_sage,0.03213173294168175,0.10818667840126324,0.8316216971150008
33,osm,independent,direct_full,0.115412217386668,0.2766378008771759,0.6395835153172014
33,osm,independent,direct_sage,0.10868892632115819,0.2720186087998017,0.6515192203699369
33,osm,independent,residual_full,0.09923197153421505,0.2609182405391033,0.679380094388405
33,osm,independent,residual_sage,0.09913243257571862,0.25539746473054903,0.6928045612251674
33,osm,spatial_cluster,direct_full,0.08463248319583175,0.20529181675240926,0.7846063412477674
33,osm,spatial_cluster,direct_sage,0.10151879422283992,0.26564655527676784,0.6393399699318412
33,osm,spatial_cluster,residual_full,0.07476144683190043,0.2151427242420682,0.7634390996696419
33,osm,spatial_cluster,residual_sage,0.08194243275662297,0.2253700495119187,0.7404135391014132
33,synthetic,independent,direct_full,0.0770149945734022,0.13519438307155338,0.6911381377939578
33,synthetic,independent,direct_sage,0.04931570034085888,0.08394671578010156,0.8809157271763102
33,synthetic,independent,residual_full,0.038525574286901745,0.06689673747266976,0.9243764841018094
33,synthetic,independent,residual_sage,0.047850284546951324,0.06926645946388778,0.9189238779736791
33,synthetic,spatial_cluster,direct_full,0.10921118063294438,0.22279426131139,0.6764142406395677
33,synthetic,spatial_cluster,direct_sage,0.11127822566177095,0.24939261274097588,0.5945394824549257
33,synthetic,spatial_cluster,residual_full,0.0839250107074832,0.2005623427883618,0.737771320354978
33,synthetic,spatial_cluster,residual_sage,0.09950603984265743,0.22041053450794268,0.6833014348735016
44,osm,independent,direct_full,0.09520373446977737,0.2540914723435442,0.7008090339271233
44,osm,independent,direct_sage,0.09302357336142453,0.24517709667269663,0.7214340100793687
44,osm,independent,residual_full,0.084231784666528,0.2393524070329901,0.734512611756826
44,osm,independent,residual_sage,0.08644047865393881,0.24398457993038083,0.7241372538222546
44,osm,spatial_cluster,direct_full,0.07794098002614276,0.23489067011827788,0.7262536931814538
44,osm,spatial_cluster,direct_sage,0.07702173408259981,0.21466410095301863,0.771368756367266
44,osm,spatial_cluster,residual_full,0.06990915699525338,0.22430821729797448,0.7503640647273407
44,osm,spatial_cluster,residual_sage,0.07390436000029589,0.23214282615653947,0.7326210154622635
44,synthetic,independent,direct_full,0.09088079886396425,0.22216131022571076,0.4799159684798099
44,synthetic,independent,direct_sage,0.08704558205301115,0.20491683338340672,0.5575217422013168
44,synthetic,independent,residual_full,0.08460238265822333,0.19946171730639012,0.5807667004796526
44,synthetic,independent,residual_sage,0.07754346915877992,0.19898312456096023,0.5827761216970153
44,synthetic,spatial_cluster,direct_full,0.08008460903139712,0.19462665484942107,0.7320237762549253
44,synthetic,spatial_cluster,direct_sage,0.0812154400067449,0.18518891803012108,0.7573827839872342
44,synthetic,spatial_cluster,residual_full,0.06706266785743335,0.15546733039698452,0.8290103164227041
44,synthetic,spatial_cluster,residual_sage,0.06821425979044866,0.1862037570788625,0.7547164034544456
55,osm,independent,direct_full,0.11062638427925764,0.2785416121044523,0.6397002724979493
55,osm,independent,direct_sage,0.10451960470911055,0.2681703238298878,0.6660317376749119
55,osm,independent,residual_full,0.10190031556025986,0.2658826687386844,0.6717053370184805
55,osm,independent,residual_sage,0.09644990712346958,0.2535943478621043,0.701349735673497
55,osm,spatial_cluster,direct_full,0.19395697478968932,0.39705519225091584,0.194943621529576
55,osm,spatial_cluster,direct_sage,0.21357969598213628,0.4177504372724112,0.10883450577443465
55,osm,spatial_cluster,residual_full,0.15850369266570907,0.3527095917169882,0.3647289325664169
55,osm,spatial_cluster,residual_sage,0.09953651522888306,0.22563524750141517,0.7400209074872859
55,synthetic,independent,direct_full,0.03598167125352371,0.058032252087726666,0.8984220432080012
55,synthetic,independent,direct_sage,0.044047995398903,0.06174720618089793,0.885000686492182
55,synthetic,independent,residual_full,0.032705905113698516,0.10131253567192187,0.6904099505639212
