nodes,edges,replicate,scenario,exact_seconds,setup_seconds,update_seconds,amortized_seconds,gnn_seconds,spectral_error
1000,2046,0,0,0.011487799929454923,0.015100599965080619,0.00010830000974237919,0.0001234006097074598,0.0012091800104826688,0.0076987716976919494
1000,2046,0,1,0.016422299901023507,0.015100599965080619,6.110011599957943e-05,7.620071596466004e-05,0.00113858999684453,0.002091108027105827
1000,2046,0,2,0.014981100102886558,0.015100599965080619,8.909986354410648e-05,0.0001042004635091871,0.0011887500062584878,0.0035561775115691124
1000,2048,1,0,0.013115799985826015,0.014022099785506725,5.1900045946240425e-05,6.592214573174716e-05,0.0010954600060358644,0.00445001671272007
1000,2048,1,1,0.013893800089135766,0.014022099785506725,7.810001261532307e-05,9.21221124008298e-05,0.0011051200097426772,0.004251874403151156
1000,2048,1,2,0.015323499916121364,0.014022099785506725,9.280000813305378e-05,0.00010682210791856051,0.0010361700085923075,0.0035043106619998834
2000,4136,0,0,0.0348618000280112,0.0364308999851346,6.109988316893578e-05,9.753078315407037e-05,0.0028979399939998984,0.002335209505699673
2000,4136,0,1,0.03324010013602674,0.0364308999851346,5.440018139779568e-05,9.083108138293027e-05,0.0021467099897563456,0.002749796046647721
2000,4136,0,2,0.033374000107869506,0.0364308999851346,0.00013519986532628536,0.00017163076531141996,0.0021439899923279882,0.0016882860714562563
2000,4146,1,0,0.033037800109013915,0.03404720011167228,6.329989992082119e-05,9.734710003249348e-05,0.0019440599950030445,0.0019754211544666103
2000,4146,1,1,0.03175570000894368,0.03404720011167228,6.16998877376318e-05,9.574708784930409e-05,0.001906369999051094,0.001619137796319785
2000,4146,1,2,0.0312930999789387,0.03404720011167228,5.600019358098507e-05,9.004739369265736e-05,0.0020350900012999773,0.000951552144173374
5000,10424,0,0,0.11636069999076426,0.11852230015210807,7.819989696145058e-05,0.00019672219711355863,0.005210680002346635,0.0009122789022460445
5000,10424,0,1,0.11715369997546077,0.11852230015210807,8.870009332895279e-05,0.00020722239348106085,0.004736399999819696,0.00033912178401658246
5000,10424,0,2,0.11741829989477992,0.11852230015210807,5.969987250864506e-05,0.00017822217266075312,0.0046221900032833215,0.0005229469645099551
5000,10431,1,0,0.21961979987099767,0.10790530010126531,5.550007335841656e-05,0.00016340537345968187,0.0054049399914219975,0.0006654558346338746
5000,10431,1,1,0.11860499996691942,0.10790530010126531,6.019999273121357e-05,0.00016810529283247888,0.004782310011796654,0.0006516412910523796
5000,10431,1,2,0.10792290000244975,0.10790530010126531,7.850001566112041e-05,0.00018640531576238572,0.0050531199900433425,0.0010745199808405777
10000,21005,0,0,0.30045560002326965,0.3215582000557333,5.469983443617821e-05,0.0003762580344919115,0.009788020001724362,0.00040101129904733713
10000,21005,0,1,0.32460789987817407,0.3215582000557333,8.190004155039787e-05,0.0004034582416061312,0.010178879997693003,0.0001867711670453097
10000,21005,0,2,0.3212925000116229,0.3215582000557333,5.979998968541622e-05,0.00038135818974114954,0.010239949985407292,0.0004462593216554839
10000,20942,1,0,0.350679500028491,0.32034659991040826,8.190004155039787e-05,0.0004022466414608061,0.011474420013837517,0.0005235185670560135
10000,20942,1,1,0.3265798999927938,0.32034659991040826,7.979990914463997e-05,0.0004001465090550482,0.01022733999416232,0.00022439878222627957
10000,20942,1,2,0.3126244000159204,0.32034659991040826,7.569999434053898e-05,0.0003960465942509472,0.009779369994066655,0.000451612126689846
20000,42061,0,0,1.4152521998621523,1.5080096998717636,7.670000195503235e-05,0.001584709701826796,0.02137001999653876,0.00021837927051419038
20000,42061,0,1,1.3927414999343455,1.5080096998717636,8.009979501366615e-05,0.0015881094948854298,0.022507319995202123,0.00018961378429427754
20000,42061,0,2,1.5093060999643058,1.5080096998717636,6.0099875554442406e-05,0.001568109575426206,0.02064054999500513,0.00019119840629450345
20000,42104,1,0,1.0920454999431968,1.1626149001531303,8.350005373358727e-05,0.0012461149538867176,0.02196871000342071,0.000147635690937203
20000,42104,1,1,1.207650300115347,1.1626149001531303,9.389990009367466e-05,0.001256514800246805,0.021847940003499388,0.0001694672017926184
20000,42104,1,2,1.1976598999463022,1.1626149001531303,6.84000551700592e-05,0.0012310149553231896,0.022208300000056625,0.00023386801357156946
