model,failure_mode,metric,mean,ci_low,ci_high
direct_full,independent,mae,0.1348410845652785,0.12305245859262277,0.144629281901212
direct_full,independent,rmse,0.24745977729141888,0.22770474663860107,0.26374559444045964
direct_full,independent,r2,0.7139988179787616,0.6749697433518548,0.7539841972238094
direct_full,spatial_cluster,mae,0.10897496366729768,0.10615836812853272,0.11210053494157446
direct_full,spatial_cluster,rmse,0.22468456680948917,0.21397010835246108,0.2353990252665173
direct_full,spatial_cluster,r2,0.7472294535346847,0.7227253190161445,0.7717335880532252
residual_full,independent,mae,0.16089926169276042,0.11772088289790972,0.2164591984915595
residual_full,independent,rmse,0.2978311827830411,0.2219986130774052,0.37933257290452005
residual_full,independent,r2,0.550190909622735,0.29010499274333146,0.7573239270661232
residual_full,spatial_cluster,mae,0.14399072393714005,0.10150337888496908,0.1980212902988898
residual_full,spatial_cluster,rmse,0.2919078269823566,0.21273873303160035,0.38280319713091304
residual_full,spatial_cluster,r2,0.5286721629573579,0.2319367394498765,0.7721770693296613
