seed,model,failure_mode,mae,rmse,r2
11,direct_full,independent,0.14540578492453238,0.275643798092463,0.6468944350274396
11,direct_full,spatial_cluster,0.11438008180687298,0.23723124184144243,0.725160022890178
11,residual_full,independent,0.15965919751124713,0.29265261806629744,0.6019726285033878
11,residual_full,spatial_cluster,0.10833322028891526,0.22456282542175807,0.7537297978042677
22,direct_full,independent,0.14597538206648486,0.2360812064267305,0.7320056235503574
22,direct_full,spatial_cluster,0.10975654114116906,0.21813997502497537,0.7484770622763817
22,residual_full,independent,0.13543815600638653,0.2344261015931322,0.7357501312647796
22,residual_full,spatial_cluster,0.09455692511045732,0.20578241759077007,0.7761672610900427
33,direct_full,independent,0.12873201644773397,0.254718453483315,0.7004004399007966
33,direct_full,spatial_cluster,0.10410293970894767,0.24219633381236302,0.7074147435119922
33,residual_full,independent,0.2648213416808725,0.45652804828772353,0.03760073464949665
33,residual_full,spatial_cluster,0.23652148860406064,0.4424110468776552,0.02373159679941861
44,direct_full,independent,0.1403840755240255,0.25571537149817886,0.702159788126598
44,direct_full,spatial_cluster,0.10760588814608436,0.21285167751664125,0.7760648790989599
44,residual_full,independent,0.15239381140879332,0.3205402370551316,0.5320119434245132
44,residual_full,spatial_cluster,0.17550707372475935,0.37299984274424786,0.3123216457610839
55,direct_full,independent,0.11370816386361582,0.21514005695640692,0.7885338032886171
55,direct_full,spatial_cluster,0.10902936753341433,0.21300360585202383,0.7790305598959124
55,residual_full,independent,0.09218380185650271,0.18500890891292074,0.8436191102714977
55,residual_full,spatial_cluster,0.1050349119575077,0.2137830022773518,0.7774105133319766
