seed,domain,failure_mode,residual_full_mae,reliability_aware_mae,delta_aware_minus_full
11,synthetic,independent,0.06417430485378867,0.04629710400083207,-0.017877200852956597
11,synthetic,spatial_cluster,0.08028282213949182,0.049617838822635554,-0.03066498331685627
11,osm,independent,0.09805969569911528,0.25113642527591445,0.1530767295767992
11,osm,spatial_cluster,0.07145076389889943,0.1513103219947242,0.07985955809582476
22,synthetic,independent,0.039351605792989894,0.030235750948767445,-0.009115854844222449
22,synthetic,spatial_cluster,0.03502428070124873,0.025674161553630403,-0.009350119147618328
22,osm,independent,0.1036359965746224,0.08786608148079614,-0.01576991509382626
22,osm,spatial_cluster,0.07569905508688567,0.06834273231793557,-0.0073563227689500965
33,synthetic,independent,0.038525574286901745,0.043326690564829726,0.00480111627792798
33,synthetic,spatial_cluster,0.0839250107074832,0.0566249286618572,-0.027300082045626006
33,osm,independent,0.09923197153421505,0.16014957476117028,0.06091760322695523
33,osm,spatial_cluster,0.07476144683190043,0.1006761246966117,0.025914677864711272
44,synthetic,independent,0.08460238265822333,0.06724734828320059,-0.01735503437502274
44,synthetic,spatial_cluster,0.06706266785743335,0.05021160710233443,-0.016851060755098922
44,osm,independent,0.084231784666528,0.12224826430154635,0.03801647963501835
44,osm,spatial_cluster,0.06990915699525338,0.09949474019475978,0.029585583199506396
55,synthetic,independent,0.032705905113698516,0.055447740732131615,0.0227418356184331
55,synthetic,spatial_cluster,0.05835918626434468,0.04620211865462331,-0.012157067609721371
55,osm,independent,0.10190031556025986,0.09142996232881354,-0.010470353231446322
55,osm,spatial_cluster,0.15850369266570907,0.182586433596926,0.02408274093121693
