seed,domain,model,group,mae,rmse,r2,spearman,analysis
11,osm,deepsets,connected,0.07759862775797019,0.13652782402926883,0.1314561671258173,0.398961375111038,connectivity_group
11,osm,deepsets,disconnected,0.13346395899470037,0.30633219179827753,,0.0,connectivity_group
11,osm,direct_full,connected,0.07810368957028105,0.15417100339992013,-0.10752822215060975,0.6134828390761169,connectivity_group
11,osm,direct_full,disconnected,0.10388460013701584,0.30297420463822733,,0.0,connectivity_group
11,osm,direct_no_coordinates,connected,0.08030604260694622,0.15833154385117645,-0.16811149265007952,0.6145909959258093,connectivity_group
11,osm,direct_no_coordinates,disconnected,0.10413226210290477,0.307327897235811,,0.0,connectivity_group
11,osm,direct_no_fiedler,connected,0.07686577274458153,0.15096370210212728,-0.06192654976001499,0.6159218558846028,connectivity_group
11,osm,direct_no_fiedler,disconnected,0.09880707467200009,0.296730670122983,,0.0,connectivity_group
11,osm,residual_full,connected,0.06942561367808264,0.141124229160432,0.07199018526976952,0.7575347859981532,connectivity_group
11,osm,residual_full,disconnected,0.09750183367977625,0.2953400801392276,,0.0,connectivity_group
11,osm,residual_no_coordinates,connected,0.07194424036998447,0.14403921540422376,0.033257307485556886,0.7413894698530681,connectivity_group
11,osm,residual_no_coordinates,disconnected,0.10814791201569494,0.3135483833295742,,0.0,connectivity_group
11,osm,residual_no_fiedler,connected,0.06670835197725519,0.13968008758155082,0.09088588399095832,0.835154009479152,connectivity_group
11,osm,residual_no_fiedler,disconnected,0.10879260985583285,0.31061912139961234,,0.0,connectivity_group
11,osm,spectral,connected,0.07653609549133614,0.1512234625665299,-0.06558416880234308,0.8679967165952617,connectivity_group
11,osm,spectral,disconnected,0.9659860798174964,0.9673370691277369,,0.0,connectivity_group
11,osm,summary_mlp,connected,0.08041019283590416,0.1568451367567372,-0.14628212020865505,0.4592214494318564,connectivity_group
11,osm,summary_mlp,disconnected,0.6501615972696521,0.7302968747816845,,0.0,connectivity_group
11,synthetic,deepsets,connected,0.05667222000111529,0.10621363921915171,-0.4442499738491321,0.4090684159642925,connectivity_group
11,synthetic,deepsets,disconnected,0.2199990078806877,0.4142848215513253,,0.0,connectivity_group
11,synthetic,direct_full,connected,0.09059414526547226,0.20904811263365347,-4.5946676360393806,0.5354115585598345,connectivity_group
11,synthetic,direct_full,disconnected,0.11930581288678306,0.316495995788238,,0.0,connectivity_group
11,synthetic,direct_no_coordinates,connected,0.06746548920225076,0.13682588499532722,-1.3967256360550655,0.5280553648183159,connectivity_group
11,synthetic,direct_no_coordinates,disconnected,0.10047260352543422,0.26594066197933197,,0.0,connectivity_group
11,synthetic,direct_no_fiedler,connected,0.10014600282129826,0.2207051905923377,-5.236011160246087,0.5321004396979441,connectivity_group
11,synthetic,direct_no_fiedler,disconnected,0.11724626432572091,0.31116297100673296,,0.0,connectivity_group
11,synthetic,residual_full,connected,0.06885779221809114,0.13394295789439511,-1.2967914362526956,0.44823710400382044,connectivity_group
11,synthetic,residual_full,disconnected,0.12664244270750455,0.335330260633605,,0.0,connectivity_group
11,synthetic,residual_no_coordinates,connected,0.06062765373603238,0.16051651453815266,-2.2985360225938223,0.6755556730319221,connectivity_group
11,synthetic,residual_no_coordinates,disconnected,0.12538571442876542,0.33207287663513757,,0.0,connectivity_group
11,synthetic,residual_no_fiedler,connected,0.050959326087230965,0.11593892694261872,-0.7208394059693788,0.7123708094301338,connectivity_group
11,synthetic,residual_no_fiedler,disconnected,0.12159759338412966,0.32214203531908864,,0.0,connectivity_group
11,synthetic,spectral,connected,0.02650382518108568,0.06775535397319471,0.4122819533134312,0.9464098029859312,connectivity_group
11,synthetic,spectral,disconnected,0.8779357688656537,0.9125634535941874,,0.0,connectivity_group
11,synthetic,summary_mlp,connected,0.04274997080269732,0.08600351636158965,0.05307800135369889,0.48778550603207205,connectivity_group
11,synthetic,summary_mlp,disconnected,0.3382029490811484,0.4763619525692318,,0.0,connectivity_group
22,osm,deepsets,connected,0.09491646732178102,0.1528055836455005,0.03060043014054148,0.3458965053078205,connectivity_group
22,osm,deepsets,disconnected,0.17914435534697512,0.3557394213953779,,0.0,connectivity_group
