,,,,mae,mae,rmse,rmse,r2,r2,spearman,spearman
,,,,mean,std,mean,std,mean,std,mean,std
analysis,domain,model,group,,,,,,,,
area,osm,deepsets,cantho,0.07776248992960659,0.016273797519651897,0.1437829490951529,0.03422744681920781,0.8955592341869281,0.0490799438748309,0.825574739120829,0.02557185698990879
area,osm,deepsets,dalat,0.2015506002400446,0.020941543585489532,0.37923599436988586,0.025737479484530205,-0.6651169601469624,0.24931630179635966,0.5661413278656899,0.02523778262002059
area,osm,deepsets,danang,0.1300744141515145,0.025489302140133268,0.27296569061060993,0.029965922070120075,0.6390077948910677,0.09299513783449809,0.8041576386649958,0.028723207103769365
area,osm,deepsets,hcmus,0.12126928553434405,0.025381120587363255,0.2504068327691775,0.03221977702610352,0.6738558860776808,0.0925414444085356,0.8177089003177539,0.020614666273344153
area,osm,deepsets,viasm,0.11264223640243509,0.024056484433374912,0.2144153558391552,0.0343401122844723,0.7827597161797886,0.07190789903357034,0.7549889285983238,0.04121544613762477
area,osm,direct_full,cantho,0.054821317550058236,0.03018489355901974,0.13384452642873337,0.07638513242700729,0.8909965924003341,0.12760683600593736,0.8794664219442323,0.023908111205285586
area,osm,direct_full,dalat,0.19803562116354678,0.015669424581492068,0.40021225600084254,0.016754378318822274,-0.842691878370031,0.07510286299437739,0.6282079843712827,0.06087125486482506
area,osm,direct_full,danang,0.0955493749188701,0.0515151063782375,0.24727065650852334,0.08410270166054055,0.6833114270606044,0.23129492896474127,0.8495192439642428,0.04390310827752294
area,osm,direct_full,hcmus,0.09794920736839836,0.018763916602465132,0.2505929310817924,0.0332358667975244,0.6762898036881215,0.08183903823287225,0.8808301708747311,0.03040182356625681
area,osm,direct_full,viasm,0.0738349356771451,0.03289076673354374,0.1976484325737579,0.06641927536192954,0.8021132801932517,0.14331445729317913,0.8373636592921928,0.023492111201836332
area,osm,direct_no_coordinates,cantho,0.051569444940000375,0.024196518957485827,0.13442542539193267,0.06138549938774885,0.8982181723302185,0.0974665673502764,0.8858085190112449,0.021110538462182672
area,osm,direct_no_coordinates,dalat,0.20118154371207994,0.0247960239306001,0.3995502323556412,0.027948096156081452,-0.8395358301581073,0.20449043078189263,0.6444481506606557,0.04702253471546773
area,osm,direct_no_coordinates,danang,0.10424462005026944,0.05090955959291306,0.26646674178171975,0.08117997266058455,0.6350360316224786,0.22141754444342202,0.8736869174178091,0.05557037798258122
area,osm,direct_no_coordinates,hcmus,0.09583813113978075,0.0162819207089779,0.25020915421484746,0.024334213128754657,0.6783552056693996,0.061060279485094286,0.9010486440064582,0.029187379584629535
