domain,failure_mode,model,mae_mean,mae_sd,mae_ci_low,mae_ci_high,rmse_mean,rmse_sd,rmse_ci_low,rmse_ci_high,r2_mean,r2_sd,r2_ci_low,r2_ci_high,spearman_mean,spearman_sd,spearman_ci_low,spearman_ci_high
osm,independent,deepsets,0.11415406868671141,0.011776591390054037,0.10503883447993005,0.12326930289349276,0.26334903186673914,0.011836840105446517,0.2557692403405067,0.2739716812422345,0.6746653242516765,0.03123577437974987,0.6477079480630532,0.693692380212865,0.7645977575114682,0.02575875419295703,0.7412948244791033,0.779884589404171
osm,independent,direct_full,0.1059252620359525,0.0076332402578426625,0.10007827653548299,0.11220336628561736,0.26548899698939027,0.011264327624671543,0.2569473766472,0.27412849522353305,0.6695065909472696,0.028141397625956036,0.6484236888660966,0.6905894930284425,0.8476812594646281,0.04247281326112245,0.8097060710862938,0.87280765312447
osm,independent,direct_no_coordinates,0.10493709897861178,0.006069715165266594,0.09971737343909264,0.1090107579351578,0.2657266459078663,0.00995396553022851,0.2579985740412982,0.2734547177744344,0.6690364423581624,0.024339594113652652,0.6505753857684369,0.688692031530452,0.8676633125728168,0.018989801103790428,0.8507351295577417,0.8811221802687754
osm,independent,direct_no_fiedler,0.10408073535473003,0.0046798525406879015,0.10005165136363212,0.10717000952250626,0.2632026074866188,0.00807225049815505,0.2567976841936271,0.26930571944204257,0.6753148433460494,0.02138511483632988,0.6594529333855006,0.693355549979985,0.8680686164476793,0.007854511852454895,0.8618175309057152,0.8738350385651037
osm,independent,residual_full,0.09741195280694812,0.007686562825134229,0.09053107305179184,0.10217360019664848,0.25532007957881503,0.010234559368778325,0.24692661465608365,0.2624145627468121,0.6943108926341099,0.025198913306679203,0.6770996812001968,0.7156127836085657,0.9031963911353136,0.009111850949967427,0.8963966946016102,0.9104502553604009
osm,independent,residual_no_coordinates,0.09751585461742945,0.006670448955443386,0.091527724127627,0.10182054897702697,0.25709580879093885,0.009955561533710926,0.24948099664883264,0.2645560816105482,0.6901138537018666,0.02460351516663972,0.6719689497553734,0.7096800135784183,0.9010097086894182,0.011775139996380194,0.8916347887431548,0.9100925936050537
osm,independent,residual_no_fiedler,0.0959896943421791,0.006319673968666324,0.09025955528923954,0.10056635653411317,0.2554380734203119,0.007078372438795601,0.24937333108004647,0.2598896921390609,0.6942228884276476,0.01853574038651061,0.682651000448084,0.7106395997791433,0.9014976522057777,0.010548429347527921,0.8936232348204456,0.9097603369170946
osm,independent,spectral,0.5018599430826035,0.025735121228546678,0.4822055290156708,0.5213296944200128,0.6763252056372472,0.02025717128383586,0.6602422897296063,0.6916488204353318,-1.1433505055196367,0.13060887200633398,-1.2414324954456983,-1.0367559377322046,0.3914330261825362,0.05549345467667484,0.34770245817108936,0.435163594193983
osm,independent,summary_mlp,0.281122259653627,0.05250798830121218,0.23981067328484765,0.32019822468475334,0.4310390169210657,0.07580156002844533,0.3732040124780632,0.4888740213640682,0.10866387605339574,0.2968653508474732,-0.11981567753017697,0.3371434296369685,0.8193838108805084,0.010981672715869284,0.809917388346458,0.8272724377349228
osm,spatial_cluster,deepsets,0.1431655418164665,0.027192679555991212,0.12181685006202243,0.1642737426801604,0.26495175236248203,0.03521427231680692,0.23713225503541388,0.2918751333222964,0.63930942417615,0.0914651979567836,0.5685350918252419,0.7100837565270581,0.7892445079394002,0.007909084794001086,0.7830628534123468,0.7957638293998684
osm,spatial_cluster,direct_full,0.10215092063525492,0.05146229293622311,0.07684006719146097,0.14842616664349448,0.2587303060280768,0.07821231241810554,0.21640794155881066,0.3295158855543057,0.6349680108567803,0.24725169699902336,0.41077345258276654,0.761265282021242,0.8405029382297892,0.043163843471445404,0.8084840274178976,0.873695623307189
osm,spatial_cluster,direct_no_coordinates,0.10392392950372482,0.040278227621618756,0.07508410460517465,0.13782555416824274,0.2657236706999245,0.058725054711653284,0.22460258007029904,0.31605870452291934,0.6270877336341453,0.17333516224874654,0.47500866199581393,0.74423326756359,0.8635056825437271,0.05196481919074886,0.8236410713123756,0.9043924695694496
osm,spatial_cluster,direct_no_fiedler,0.08544065557922849,0.013300372465529332,0.07664016592457994,0.09690163931660385,0.24227536551547071,0.02472838447436266,0.2258058406512157,0.26428463971984073,0.6996381103810663,0.06453841448810299,0.640837057165494,0.7404535655663659,0.853477316063097,0.04479895569504061,0.8227565805767914,0.8924436702166805
osm,spatial_cluster,residual_full,0.09006482309572961,0.03833138909337196,0.0714962577240412,0.12434465774558542,0.24793476832780895,0.058696174018044146,0.218799136041486,0.30112841670659574,0.6737012315619851,0.172886672166433,0.5181034818369366,0.7560582719710903,0.8964845353977889,0.030311091108196044,0.8715566054302512,0.917258910927057
osm,spatial_cluster,residual_no_coordinates,0.09474872488074579,0.031617480219232046,0.07315131961736872,0.12227791596538291,0.2581679481373264,0.05051674879384133,0.22533124967371077,0.2997714146061631,0.6508232539871057,0.14633581425488798,0.5216478398275309,0.743593265382198,0.8949298959444982,0.029228394509932743,0.8719092782597914,0.9179505136292054
osm,spatial_cluster,residual_no_fiedler,0.07809747549471557,0.015143244419006751,0.06745037308349568,0.08950497987824997,0.22477443699869895,0.021628404889856054,0.2068662034696831,0.24101627145084956,0.7420680037766034,0.046599038730589466,0.7066532500039034,0.7793730726686594,0.8891738521220269,0.04246105844498546,0.8553760872700739,0.9209992643326028
osm,spatial_cluster,spectral,0.6500224108755577,0.008744818000219493,0.6432376310629992,0.6567905789377562,0.7830211386464063,0.006244157856847824,0.7779039886479693,0.7876582360577069,-2.1110097328738346,0.08383450212610173,-2.176022140664853,-2.0459973250828165,0.3236084503195194,0.019950815969767353,0.30793375062186656,0.3395385500204639
osm,spatial_cluster,summary_mlp,0.3466239433097388,0.09942051302194677,0.26865299463905656,0.424594891980421,0.47306257254728823,0.11904409641832242,0.37929467281281337,0.5668304722817632,-0.1981669610108827,0.5823630357734284,-0.6580647940951311,0.26173087207336565,0.7871364921968305,0.04136171877226755,0.7507717170193235,0.8114804033373764
synthetic,independent,deepsets,0.06800902345373663,0.012770611689719475,0.05805706214377201,0.07796098476370128,0.1575426979348589,0.05315433633605789,0.11952322818086461,0.20410715981717606,0.5214414481122756,0.11680516337108837,0.4283813203780581,0.6145015758464929,0.2978685822629623,0.1568533726245145,0.15520500270608784,0.39248128761659895
synthetic,independent,direct_full,0.0771680426045227,0.026978638521250313,0.05516816143958751,0.09810652100796631,0.16122298432729804,0.07987017812292445,0.10286830504356592,0.2195776636110302,0.3421819370670313,0.744714709830184,-0.31817231182594846,0.7740516999595751,0.5866837262700038,0.13876956365691231,0.48143958524536823,0.6919278672946392
synthetic,independent,direct_no_coordinates,0.06272453171796782,0.01953646391066528,0.04697901262996781,0.07821699345131869,0.12492304253337197,0.06036195184708381,0.0803504284195756,0.17411135922341014,0.6597906950158371,0.2486881839433583,0.46705966862328985,0.8477353020338553,0.6524438308170902,0.09828541037394065,0.5714741287206027,0.7235521633016455
synthetic,independent,direct_no_fiedler,0.07700124689155673,0.03282495084830467,0.05258886673790651,0.1037169834245532,0.15173655183601115,0.08928568343642392,0.08280995681341956,0.22076437543297392,0.37380216126238774,0.7946815087493357,-0.3387970672752795,0.8394448431939516,0.6399623653173767,0.09344533635460534,0.5675687867824248,0.7123559438523286
synthetic,independent,residual_full,0.05187195454112044,0.021936563069814743,0.036362912918838086,0.07013747158843145,0.11709978852658187,0.05286095069389075,0.07966879134189805,0.16151007440404394,0.7001966796007291,0.19025269757853094,0.5536752492606773,0.8467181099407807,0.8037185634342237,0.13521608906661817,0.6844667614706944,0.8920979990143033
synthetic,independent,residual_no_coordinates,0.05003052153917047,0.024118892382679603,0.031650147064742756,0.06841089601359818,0.11833370628453692,0.07809607142923351,0.058862929059850314,0.1778044835092235,0.6107246815869198,0.5125227247220191,0.1451970765788019,0.9209492123324617,0.8331254691378046,0.08763889738513313,0.7580289382123996,0.8941171079790677
