seed,method,domain,seconds,train_seconds
11,exact,synthetic,0.0009912620861238489,
11,spectral,synthetic,1.5897510456852616e-05,
11,exact,osm,0.004922175996936858,
11,spectral,osm,1.678509800694883e-05,
11,direct_full,synthetic,0.0005023954174248502,118.37717440002598
11,direct_full,osm,0.000451889099786058,118.37717440002598
11,direct_no_fiedler,synthetic,0.00035666166610705355,167.04815379995853
11,direct_no_fiedler,osm,0.0004326737001538277,167.04815379995853
11,direct_no_coordinates,synthetic,0.00033317624959939467,163.43516690004617
11,direct_no_coordinates,osm,0.000432837799191475,163.43516690004617
11,residual_full,synthetic,0.00035645374931239833,117.01904669986106
11,residual_full,osm,0.0004749936002772301,117.01904669986106
11,residual_no_fiedler,synthetic,0.0003400666668312624,62.98336009983905
11,residual_no_fiedler,osm,0.0004486411004327237,62.98336009983905
11,residual_no_coordinates,synthetic,0.0003859108333320667,74.59965330013074
11,residual_no_coordinates,osm,0.0004480539993382991,74.59965330013074
11,deepsets,synthetic,0.00039501041658998777,103.50220389990136
11,deepsets,osm,0.0004501199999358505,103.50220389990136
11,summary_mlp,synthetic,0.00027203791638991484,35.03053279989399
11,summary_mlp,osm,0.0003560960995964706,35.03053279989399
22,exact,synthetic,0.0010905308464619643,
22,spectral,synthetic,1.4309593825601042e-05,
22,exact,osm,0.004939135602442548,
22,spectral,osm,1.7451290972530842e-05,
22,direct_full,synthetic,0.0005083724992194523,115.09250329993665
22,direct_full,osm,0.00044893179996870463,115.09250329993665
22,direct_no_fiedler,synthetic,0.00033810333310005565,106.54434969997965
22,direct_no_fiedler,osm,0.0004352211004588753,106.54434969997965
22,direct_no_coordinates,synthetic,0.00034104625034766893,172.50116960005835
22,direct_no_coordinates,osm,0.00045056279981508845,172.50116960005835
22,residual_full,synthetic,0.000346862916679432,76.2851358000189
22,residual_full,osm,0.00044753969996236265,76.2851358000189
22,residual_no_fiedler,synthetic,0.0003667158336611465,50.17686580005102
22,residual_no_fiedler,osm,0.00044500479986891154,50.17686580005102
22,residual_no_coordinates,synthetic,0.0003824662504484877,56.816199500113726
22,residual_no_coordinates,osm,0.0004379104999825358,56.816199500113726
22,deepsets,synthetic,0.00023100458395977814,57.24618829996325
22,deepsets,osm,0.00032588310027495025,57.24618829996325
22,summary_mlp,synthetic,0.0002695045831690853,26.99170199991204
22,summary_mlp,osm,0.0003721801007632166,26.99170199991204
33,exact,synthetic,0.0009760666677417854,
33,spectral,synthetic,1.4767912216484546e-05,
33,exact,osm,0.004889987697359175,
33,spectral,osm,1.6799504635855556e-05,
33,direct_full,synthetic,0.0004888379160547629,47.93339710007422
33,direct_full,osm,0.0004316348996944726,47.93339710007422
33,direct_no_fiedler,synthetic,0.000331100834106716,89.03416929999366
33,direct_no_fiedler,osm,0.00042826870013959706,89.03416929999366
33,direct_no_coordinates,synthetic,0.0003312883326240505,90.64250379987061
33,direct_no_coordinates,osm,0.0004387478998396545,90.64250379987061
33,residual_full,synthetic,0.0005930354178417474,89.07638689992018
33,residual_full,osm,0.0007936434999573974,89.07638689992018
33,residual_no_fiedler,synthetic,0.0005687241665630913,75.78855669987388
33,residual_no_fiedler,osm,0.0007160103998612612,75.78855669987388
33,residual_no_coordinates,synthetic,0.00034650249969369424,145.32293519983068
33,residual_no_coordinates,osm,0.00043991179973818363,145.32293519983068
33,deepsets,synthetic,0.00023585250019095836,53.61098440014757
33,deepsets,osm,0.00024853479955345395,53.61098440014757
33,summary_mlp,synthetic,0.0004248245832665513,63.820949899964035
33,summary_mlp,osm,0.0005684795000124724,63.820949899964035
44,exact,synthetic,0.0011187462514499202,
44,spectral,synthetic,1.727000732595722e-05,
44,exact,osm,0.005930583699606359,
44,spectral,osm,2.114599966444075e-05,
44,direct_full,synthetic,0.0008471425011521206,180.47836400009692
44,direct_full,osm,0.0007438146998174489,180.47836400009692
44,direct_no_fiedler,synthetic,0.0005514837510418146,107.00114249996841
44,direct_no_fiedler,osm,0.0006474394004326314,107.00114249996841
44,direct_no_coordinates,synthetic,0.000584880416863598,170.95238770009018
44,direct_no_coordinates,osm,0.0007265606001019479,170.95238770009018
44,residual_full,synthetic,0.0006895216666938116,116.0188521000091
44,residual_full,osm,0.0008592001004144549,116.0188521000091
44,residual_no_fiedler,synthetic,0.0005642316672795763,158.26778049999848
44,residual_no_fiedler,osm,0.0007289892998524011,158.26778049999848
44,residual_no_coordinates,synthetic,0.0005544537494036679,135.8381670000963
44,residual_no_coordinates,osm,0.0007530113998800516,135.8381670000963
44,deepsets,synthetic,0.00039613166785178086,131.96791539993137
44,deepsets,osm,0.0004579084001015871,131.96791539993137
44,summary_mlp,synthetic,0.0002752862492343411,95.83776629995555
44,summary_mlp,osm,0.0003699264999013394,95.83776629995555
55,exact,synthetic,0.0008931470772949978,
55,spectral,synthetic,1.5233751037158072e-05,
55,exact,osm,0.004788999994751066,
55,spectral,osm,1.6702504130080343e-05,
55,direct_full,synthetic,0.0004583479176896313,105.16506069991738
55,direct_full,osm,0.0004338749998714775,105.16506069991738
55,direct_no_fiedler,synthetic,0.00033708541595842687,155.34439949993975
55,direct_no_fiedler,osm,0.00043481030012480917,155.34439949993975
55,direct_no_coordinates,synthetic,0.0006053770834114402,152.20629920018837
55,direct_no_coordinates,osm,0.0007323307993356139,152.20629920018837
55,residual_full,synthetic,0.0006118429174724345,205.89163190010004
55,residual_full,osm,0.000794582999777049,205.89163190010004
55,residual_no_fiedler,synthetic,0.0005258087505353615,91.4556670000311
55,residual_no_fiedler,osm,0.0007117068003863096,91.4556670000311
55,residual_no_coordinates,synthetic,0.00032509499966787794,93.30234729987569
55,residual_no_coordinates,osm,0.00043349259998649354,93.30234729987569
55,deepsets,synthetic,0.0006948029156774282,47.85735090007074
55,deepsets,osm,0.0006683085998520254,47.85735090007074
55,summary_mlp,synthetic,0.00045789375047509864,77.13712739991024
55,summary_mlp,osm,0.0005411065998487175,77.13712739991024
