domain,method,mean,std
osm,deepsets,0.00043015097994357346,0.00015948708079639715
osm,direct_full,0.0005020290998276322,0.00013545658342448182
osm,direct_no_coordinates,0.000556207979656756,0.0001582855321141427
osm,direct_no_fiedler,0.00047568264026194806,9.605456743825488e-05
osm,exact,0.0050941765982192005,0.0004711752919568641
osm,residual_full,0.0006739919800776989,0.000196240743993807
osm,residual_no_coordinates,0.0005024760597851128,0.0001401529817497571
osm,residual_no_fiedler,0.0006100704800803214,0.00014916519139998897
osm,spectral,1.7776879481971266e-05,1.9072331505462944e-06
osm,summary_mlp,0.00044155776002444326,0.00010400371631153937
synthetic,deepsets,0.00039056041685398663,0.0001884190427706564
synthetic,direct_full,0.0005610192503081635,0.0001611105958743153
synthetic,direct_no_coordinates,0.0004391536665692305,0.00014261637208822688
synthetic,direct_no_fiedler,0.00038288700006281336,9.473357575234524e-05
synthetic,exact,0.0010139505858145033,9.136481105187413e-05
synthetic,residual_full,0.0005195433335999647,0.00015750370808455223
synthetic,residual_no_coordinates,0.0003988856665091589,9.059308833144687e-05
synthetic,residual_no_fiedler,0.00047310941697408757,0.0001109534052353063
synthetic,spectral,1.54957549724107e-05,1.1526879769681133e-06
synthetic,summary_mlp,0.0003399094165069982,9.336812015020346e-05
