nodes,failure_mode,spectral_mae,disconnected_rate,scenarios
50,independent,0.11452821421473844,0.03333333333333333,60
50,spatial_cluster,0.47778727423084155,0.4666666666666667,60
50,targeted,0.09086034949532976,0.0,60
100,independent,0.03226808195630057,0.0,60
100,spatial_cluster,0.31134013435240143,0.2833333333333333,60
100,targeted,0.045307015284942846,0.0,60
200,independent,0.011565259086425944,0.0,60
200,spatial_cluster,0.2935362983401488,0.2833333333333333,60
200,targeted,0.014430874022715721,0.0,60
400,independent,0.005714608439157015,0.0,60
400,spatial_cluster,0.2709092257577645,0.26666666666666666,60
400,targeted,0.007878163514221055,0.0,60
800,independent,0.0031139825940703436,0.0,60
800,spatial_cluster,0.33423050534258514,0.3333333333333333,60
800,targeted,0.0032826998960171867,0.0,60
1200,independent,0.0019962777916048315,0.0,60
1200,spatial_cluster,0.3004102785941862,0.3,60
1200,targeted,0.002120121753878716,0.0,60
