seed,failed_group,n,method,mae,rmse,r2,spearman
11,1,33,gcn,0.03136053003043302,0.058327854779921896,-0.02582854480796648,0.3834196944747499
11,1,33,spectral_first_order,0.01212260554267523,0.033925103984747546,0.6529714970725028,0.9926470588235295
11,2-3,71,gcn,0.04946696565841993,0.16696441685410054,-0.01083034557847773,0.45883566122839087
11,2-3,71,spectral_first_order,0.034833181141856615,0.1610769340117319,0.05920038666033023,0.9640087526223474
11,4-5,82,gcn,0.05193283974666988,0.12506498580973952,0.5734388882669144,0.4155596794145343
11,4-5,82,spectral_first_order,0.05584913248988817,0.18820910942279767,0.033969001136058274,0.9065074719983091
11,6+,114,gcn,0.10202250775927983,0.17400905367026454,0.47553359530261696,0.43061063529946325
11,6+,114,spectral_first_order,0.08030164932494485,0.23073848105823838,0.07782351747309635,0.9244968201490971
22,1,42,gcn,0.05072748877108957,0.05161309902944729,-20.18738577346509,0.09213191799692083
22,1,42,spectral_first_order,0.002167273070865618,0.0060852661465596695,0.7054787356931891,0.9964346487318695
22,2-3,81,gcn,0.05463411927662632,0.07017647598022665,0.8163606461255343,0.1320355241412425
22,2-3,81,spectral_first_order,0.041078198854552356,0.16685445184795566,-0.0381455384444751,0.9470807762164059
22,4-5,68,gcn,0.07136109164853531,0.13716031182482089,0.36850403022121603,0.18193096472719036
22,4-5,68,spectral_first_order,0.04559896399702026,0.1567020558758597,0.175742240499985,0.9404983443030878
22,6+,109,gcn,0.10090587331730262,0.20208736511907846,0.37209280789071675,0.4856704668001129
22,6+,109,spectral_first_order,0.08192271349636161,0.21731762126812354,0.273882305707574,0.9104913555675963
33,1,42,gcn,0.022777112210248952,0.0407928683937997,-0.002123318002467345,0.08477186269069417
33,1,42,spectral_first_order,0.003953744707229804,0.014466055918081944,0.873976087585556,0.9944899116765256
33,2-3,82,gcn,0.04510581474344608,0.12277867550667781,0.8029616476450157,0.6160287508618693
33,2-3,82,spectral_first_order,0.09474321268026353,0.2793742791639465,-0.02018214652512751,0.9172591413952345
33,4-5,78,gcn,0.0887803816907779,0.21666869387930004,0.4649136235514776,0.5009300318904675
33,4-5,78,spectral_first_order,0.10223178459812994,0.29043766958217665,0.03852620963861497,0.8835483363463762
33,6+,98,gcn,0.12278948290058814,0.2518901901086775,0.46603265200311494,0.57333742221319
33,6+,98,spectral_first_order,0.16736276858252466,0.3690324733333946,-0.14609695947660972,0.8390882619275117
44,1,32,gcn,0.024751471378248145,0.026060394423256947,-0.640058134580854,0.41165689149560114
44,1,32,spectral_first_order,0.003459620188503207,0.010552199033547422,0.7311046933205174,0.9765395894428152
44,2-3,90,gcn,0.023233935974579845,0.029778585044549923,0.9788854804281519,0.389043464274215
44,2-3,90,spectral_first_order,0.047295483278849755,0.20060910544919308,0.04175983442023412,0.9729091216670235
44,4-5,71,gcn,0.06050876557844575,0.1710870222024563,0.445615739614867,0.5933763750209894
44,4-5,71,spectral_first_order,0.05883234852467241,0.1914428274088559,0.305847397422224,0.9852603371597031
44,6+,107,gcn,0.05923081929735503,0.1379607776082257,0.5925376311676287,0.5117905818646907
44,6+,107,spectral_first_order,0.05731322807161953,0.16797849752589716,0.39593506917399224,0.9247793257105185
55,1,39,gcn,0.018626785954826308,0.019584452154091127,0.9845718325341578,0.3145532812782702
55,1,39,spectral_first_order,0.026927936166247772,0.1600234804121399,-0.030051439303367067,0.978337888450248
55,2-3,86,gcn,0.04878233661528751,0.12334080659600456,0.41494749465598013,0.320507196131667
55,2-3,86,spectral_first_order,0.03604331197291673,0.14843021892498445,0.15272199769078854,0.9919099576031754
55,4-5,75,gcn,0.052517257290618034,0.11936150329626737,0.6439884914194306,0.48471140521010037
55,4-5,75,spectral_first_order,0.05836700231319669,0.19284740625534919,0.07068471173182789,0.9395715386885984
55,6+,100,gcn,0.09554549663001119,0.18524914712913285,0.5252679238481546,0.45361289687795286
55,6+,100,spectral_first_order,0.10154981206404763,0.2719622216539843,-0.02318296920504892,0.93833432348635
