seed,method,mae,rmse,r2,spearman
11,gcn,0.06812036932178979,0.1508415458723893,0.42968324803404356,0.5479835194814275
11,spectral_first_order,0.05535739577064883,0.19021196394605724,0.09311996987952065,0.9517572647365965
11,train_mean_constant,0.10649557540145241,0.19992034210665252,-0.001816434386036292,0.0
22,gcn,0.07469070871159626,0.14423999426600514,0.47632660417175865,0.5923685174377444
22,spectral_first_order,0.05149554966365296,0.17391704974083153,0.23866913411829194,0.9474290791033385
22,train_mean_constant,0.10263842770312404,0.19932466017419903,-2.5749664513297077e-05,0.0
33,gcn,0.07871184872643783,0.19309507621958708,0.5712546133532461,0.6722002867560931
33,spectral_first_order,0.10770210412408938,0.29628044162446227,-0.009399365001412585,0.9236792603958297
33,train_mean_constant,0.15703136866066444,0.2990732901572636,-0.028518996760637405,0.0
44,gcn,0.045056404475675875,0.11855119631367034,0.6719615244240404,0.6847393026752212
44,spectral_first_order,0.048923044966812046,0.1755647518941256,0.28057163384784234,0.966221370425388
44,train_mean_constant,0.11410272315513156,0.20765115106882887,-0.006425400385317692,0.0
55,gcn,0.06138356520316808,0.1393261743708457,0.5826845585155507,0.6419746040528097
55,spectral_first_order,0.06227473573349672,0.2087982182694483,0.0627561339738717,0.9646537025786535
55,train_mean_constant,0.11991296984608148,0.2158514176842277,-0.0016334988981627774,0.0
